NP,Name,state,nps_page,wiki_page,establish,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Average,parkSQkm,stateSQkm,elev_hi,elev_lo,relief
24,Grand Teton National Park,Wyoming,https://www.nps.gov/grte/index.htm,https://en.wikipedia.org/wiki/Grand_Teton_National_Park,2/26/1929,2669374,2587437,2705256,2688794,2791392,3149921,3270076,3317000,3491151,3405614,3007601.5,1254.7,253600,13770,6310,7460
25,Great Basin National Park,Nevada,https://www.nps.gov/grba/index.htm,https://en.wikipedia.org/wiki/Great_Basin_National_Park,10/27/1986,88870,91451,94850,92893,107526,116123,144846,168028,153094,131802,118948.3,312.3,286382,13065,6195,6870
26,"Great Sand Dunes National Park and Preserve""",Colorado,https://www.nps.gov/grsa/index.htm,https://en.wikipedia.org/wiki/Great_Sand_Dunes_National_Park_and_Preserve,9/13/2004,283284,280058,254674,242841,271774,299513,388308,486935,442905,527546,347783.8,434.4,269837,13610,7520,6090
27,Great Smoky Mountains National Park,North Carolina and Tennessee,https://www.nps.gov/grsm/index.htm,https://en.wikipedia.org/wiki/Great_Smoky_Mountains_National_Park,6/15/1934,9463538,9008830,9685829,9354695,10099276,10712674,11312786,11338893,11421200,12547743,10494546.4,2114.2,,6643,874,5769
28,Guadalupe Mountains National Park,Texas,https://www.nps.gov/gumo/index.htm,https://en.wikipedia.org/wiki/Guadalupe_Mountains_National_Park,10/15/1966,192210,152546,159360,145670,166868,169535,181839,225257,172347,188833,175446.5,349.5,696241,8749,3636,5113
29,Haleakala National Park,Hawaii,https://www.nps.gov/hale/index.htm,https://en.wikipedia.org/wiki/Haleakal%C4%81_National_Park,7/1/1961,1105606,956989,1094668,785300,1142040,1216772,1263558,1112390,1044084,994394,1071580.1,134.6,28311,10023,0,10023
30,Hawaii Volcanoes National Park,Hawaii,https://www.nps.gov/havo/index.htm,https://en.wikipedia.org/wiki/Hawai%CA%BBi_Volcanoes_National_Park,8/1/1916,1304667,1352123,1483928,1583209,1693005,1832660,1887580,2016702,1116891,1368376,1563914.1,1317.7,28311,13679,0,13679
31,Hot Springs National Park,Arkansas,https://www.nps.gov/hosp/index.htm,https://en.wikipedia.org/wiki/Hot_Springs_National_Park,3/4/1921,1311807,1396354,1302505,1325719,1424484,1418162,1544300,1561616,1506887,1467153,1425898.7,22.5,137732,1405,415,990
32,Indiana Dunes National Park,Indiana,https://www.nps.gov/indu/index.htm,https://en.wikipedia.org/wiki/Indiana_Dunes_National_Park,2/15/2019,2150345,1840513,1889381,1681695,1553372,1640195,1698223,2158471,1756079,2134285,1850255.9,62.1,94321,900,597,303
33,Isle Royale National Park,Michigan,https://www.nps.gov/isro/index.htm,https://en.wikipedia.org/wiki/Isle_Royale_National_Park,4/3/1940,15793,15892,16663,16274,14560,18684,24966,28196,25798,26410,20323.6,2314,250493,1394,600,794
34,Joshua Tree National Park,California,https://www.nps.gov/jotr/index.htm,https://en.wikipedia.org/wiki/Joshua_Tree_National_Park,10/31/1994,1434976,1396237,1396117,1383340,1589904,2025756,2505286,2853619,2942382,2988547,2051616.4,3217.9,423970,5813,1780,4033
35,Katmai National Park and Preserve,Alaska,https://www.nps.gov/katm/index.htm,https://en.wikipedia.org/wiki/Katmai_National_Park_and_Preserve,10/2/1980,55172,48939,39818,28966,30896,37818,37818,37818,37818,84167,43923,14870,1717856,7606,0,7606
36,Kenai Fjords National Park,Alaska,https://www.nps.gov/kefj/index.htm,https://en.wikipedia.org/wiki/Kenai_Fjords_National_Park,10/2/1980,297596,346852,281279,283502,270666,296697,346534,303598,321596,356601,310492,2710,1717856,6450,0,6450
37,Kings Canyon National Park,California,https://www.nps.gov/seki/index.htm,https://en.wikipedia.org/wiki/Kings_Canyon_National_Park,3/4/1940,598205,566810,591033,567544,502268,468106,607479,692932,699023,632110,592551,1869.2,423970,14242,3480,10762
38,Kobuk Valley National Park,Alaska,https://www.nps.gov/kova/index.htm,https://en.wikipedia.org/wiki/Kobuk_Valley_National_Park,12/2/1980,3164,11485,29550,16875,0,0,15500,15500,14937,15766,12277.7,7084.9,1717856,4760,40,4720
