UNIT_CODE,UNIT_NAME,UNIT_TYPE,state,nps_page,wiki_page,establish,parkSQmile,stateSQmile,parkSQkm,stateSQkm,elev_hi,elev_lo,relief
HAVO,Hawaii Volcanoes,National Park,Hawaii,https://www.nps.gov/havo/index.htm,https://en.wikipedia.org/wiki/Hawai%CA%BBi_Volcanoes_National_Park,8/1/1916,508.7668144,10930.93821,1317.7,28311,13679,0,13679
HOSP,Hot Springs,National Park,Arkansas,https://www.nps.gov/hosp/index.htm,https://en.wikipedia.org/wiki/Hot_Springs_National_Park,3/4/1921,8.687298568,53178.62251,22.5,137732,1405,415,990
32,Indiana Dunes,National Park,Indiana,https://www.nps.gov/indu/index.htm,https://en.wikipedia.org/wiki/Indiana_Dunes_National_Park,2/15/2019,23.97694405,36417.5417,62.1,94321,900,597,303
ISRO,Isle Royale,National Park,Michigan,https://www.nps.gov/isro/index.htm,https://en.wikipedia.org/wiki/Isle_Royale_National_Park,4/3/1940,893.440395,96715.88801,2314,250493,1394,600,794
JOTR,Joshua Tree,National Park,California,https://www.nps.gov/jotr/index.htm,https://en.wikipedia.org/wiki/Joshua_Tree_National_Park,10/31/1994,1242.438136,163695.7322,3217.9,423970,5813,1780,4033
KATM,Katmai,National Park and Preserve,Alaska,https://www.nps.gov/katm/index.htm,https://en.wikipedia.org/wiki/Katmai_National_Park_and_Preserve,10/2/1980,5741.339098,663267.9098,14870,1717856,7606,0,7606
KEFJ,Kenai Fjords,National Park,Alaska,https://www.nps.gov/kefj/index.htm,https://en.wikipedia.org/wiki/Kenai_Fjords_National_Park,10/2/1980,1046.33685,663267.9098,2710,1717856,6450,0,6450
KICA,Kings Canyon,National Park,California,https://www.nps.gov/seki/index.htm,https://en.wikipedia.org/wiki/Kings_Canyon_National_Park,3/4/1940,721.7021548,163695.7322,1869.2,423970,14242,3480,10762
KOVA,Kobuk Valley,National Park,Alaska,https://www.nps.gov/kova/index.htm,https://en.wikipedia.org/wiki/Kobuk_Valley_National_Park,12/2/1980,2735.495183,663267.9098,7084.9,1717856,4760,40,4720
LACL,Lake Clark,National Park and Preserve,Alaska,https://www.nps.gov/lacl/index.htm,https://en.wikipedia.org/wiki/Lake_Clark_National_Park_and_Preserve,12/2/1980,4093.455085,663267.9098,10602,1717856,10197,0,10197
LAVO,Lassen Volcanic,National Park,California,https://www.nps.gov/lavo/index.htm,https://en.wikipedia.org/wiki/Lassen_Volcanic_National_Park,8/9/1916,166.5644712,163695.7322,431.4,423970,10457,5275,5182
MACA,Mammoth Cave,National Park,Kentucky,https://www.nps.gov/maca/index.htm,https://en.wikipedia.org/wiki/Mammoth_Cave_National_Park,7/1/1941,84.40193187,40409.06582,218.6,104659,925,421,504
MEVE,Mesa Verde,National Park,Colorado,https://www.nps.gov/meve/index.htm,https://en.wikipedia.org/wiki/Mesa_Verde_National_Park,6/29/1906,82.00809849,104184.6482,212.4,269837,8571,6015,2556
MORA,Mount Rainier,National Park,Wahington,https://www.nps.gov/mora/index.htm,https://en.wikipedia.org/wiki/Mount_Rainier_National_Park,3/2/1899,369.3453249,71362.10367,956.6,184827,14411,1610,12801
NPSA,National Park of,American Samoa,American Samoa,https://www.nps.gov/npsa/index.htm,https://en.wikipedia.org/wiki/National_Park_of_American_Samoa,10/31/1988,12.8958121,77.22043172,33.4,200,3000,0,3000
NOCA,North Cascades,National Park,Washington,https://www.nps.gov/noca/index.htm,https://en.wikipedia.org/wiki/North_Cascades_National_Park,10/2/1968,788.7294896,71362.10367,2042.8,184827,9206,605,8601
OLYM,Olympic,National Park,Washington,https://www.nps.gov/olym/index.htm,https://en.wikipedia.org/wiki/Olympic_National_Park,6/29/1938,1441.62824,71362.10367,3733.8,184827,7962,0,7962
PEFO,Petrified Forest,National Park,Arizona,https://www.nps.gov/pefo/index.htm,https://en.wikipedia.org/wiki/Petrified_Forest_National_Park,12/9/1962,345.9089239,113990.4847,895.9,295234,6234,5200,1034
48,Pinnacles,National Park,California,https://www.nps.gov/pinn/index.htm,https://en.wikipedia.org/wiki/Pinnacles_National_Park,1/10/2013,41.69903313,163695.7322,108,423970,3304,824,2480
